Types,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr,Percentage
Wasteland,363598,193761,2760.850569,215131733.6,215128972.8,15978475212,43945.44308,5816.225449,686530.5908,2760.850569,2861.092993,2884.905323,17294.6501,14409.74478,6.61
Evergreen Fores,194,175,2760.878787,126270.7152,123509.8365,1589600.127,8193.815086,2806.59175,13914.84277,2760.878787,2786.988917,2786.947825,8289.90665,5502.958826,0.004
Degraded/Scrub,71868,43721,2760.892895,151815288.9,151812528,2598420823,36155.46311,5733.777906,702932.3005,2760.949326,2896.70752,2899.702216,11687.29346,8787.591242,1.307
Plantation,121496,97477,2761.160912,178317761.2,178315000,6672373470,54918.46209,14325.34501,858559.1649,2761.160912,2834.016188,5577.672102,40102.76011,34525.08801,2.209
Current Fallow,1270893,328453,2761.005754,26652150.28,26649389.27,14975276516,11783.27091,2915.789065,81096.99279,2761.005754,2879.435021,2857.414271,8577.432617,5720.018346,23.105
Double/Triple C,821873,316883,2761.005754,6855981583,6855978822,1.11E+11,135368.6031,5693.867791,10585860.02,2761.005754,2879.350312,2864.257154,14286.43875,11422.1816,14.942
Deciduous Fores,124141,82403,2761.019861,868312588.1,868309827.1,11076790527,89227.49557,5823.318989,4139557.667,2761.019861,2871.901635,2888.589918,17232.92222,14344.3323,2.257
Waterbodies max,196830,99035,2761.033967,430845393.4,430842632.3,10172108790,51679.66667,5738.406749,1616356.166,2761.033967,2877.750882,2878.39355,11615.1076,8736.714051,3.578
Rabi Crop,942748,324449,2762.274456,1399827152,1399824390,35878317487,38057.16638,5659.87378,2134196.489,2762.274456,2847.758258,2855.44221,11449.46247,8594.020255,17.139
Kharif Crop,1185598,355967,2762.387144,143967823.3,143965060.9,17494176795,14755.57212,5608.601722,224141.0344,2762.387144,2877.496065,2859.27478,11121.49195,8262.217171,21.554
Built-up,213967,145390,2764.750366,781626333.3,781623568.6,12581432220,58800.80676,11501.03649,2088091.108,2764.750366,2874.540226,2891.398647,48462.21526,45570.81662,3.89
Grassland,1754,1700,2763.682053,9125126.377,9122362.695,230846081.1,131611.2207,11275.18052,475201.8814,2763.682053,2786.11184,2826.631464,64939.19951,62112.56805,0.032
Zaid Crop,178496,58911,2763.597658,2485899.757,2483136.16,1063344165,5957.243664,2875.234767,12348.14412,2763.597658,2853.690882,2841.648389,5712.100146,2870.451757,3.245
Waterbodies min,6156,5700,2785.961001,246313587.3,246310801.4,761038008.2,123625.4074,5742.786943,3212883.601,2785.961001,2873.393243,2879.840258,17216.438,14336.59774,0.112
0,4,4,2798.68723,1.90E+11,1.90E+11,3.02E+11,75535048595,55915659969,80469770459,2798.68723,2798.68723,2850.503949,1.51E+11,1.51E+11,0
Littoral Swamp,926,866,2808.048651,3908878.214,3906070.166,25361582.57,27388.31811,8444.570606,138303.4838,2808.048651,2815.664165,2819.832868,25289.38291,22469.55004,0.017
