Classes,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr,Percentage
Wasteland,333726,180000,2760.851000000000113,198356120.534000009298325,198353359.682999998331070,14931993833.251293182373047,44743.273923072498292,8543.152000000000044,669600.157523480127566,2760.851000000000113,2887.253000000000156,2890.246000000000095,17483.740000000001601,14593.494000000002416,11.956
Evergreen Fores,194,175,2760.878999999999905,126270.715000000011059,123509.835999999995693,1589600.132999999215826,8193.815118556696689,2806.591499999999996,13914.842772966669145,2760.878999999999905,2786.989000000000033,2786.947999999999865,8289.906999999999243,5502.958999999998923,0.007
Degraded/Scrub,71868,41999,2760.893000000000029,151815288.872999995946884,151812527.979999989271164,2598420822.889009952545166,36155.463111384902732,5733.778000000000247,702932.300491958507337,2760.949000000000069,2896.389999999999873,2899.702000000000226,11687.293499999999767,8787.591499999998632,2.575
Plantation,121481,96065,2761.161000000000058,178317761.178999960422516,178315000.017999976873398,6672259182.845996856689453,54924.302424626046559,14326.317999999999302,858610.004501063609496,2761.161000000000058,2833.925999999999931,5577.904000000000451,40103.675000000002910,34525.771000000000640,4.352
Current Fallow,277658,148921,2761.005999999999858,35367038.730999998748302,35364277.725000001490116,6763465714.986503601074219,24358.980166199078667,8399.918000000001484,156483.717379829467973,2761.005999999999858,2880.873000000000047,2880.039999999999964,17161.393000000000029,14281.352999999999156,9.948
Double/Triple C,489524,229932,2761.005999999999858,6931287972.114000320434570,6931285211.108000755310059,124403582513.148925781250000,254131.733098170720041,5773.273000000000138,22574205.013309568166733,2761.005999999999858,2880.994000000000142,2872.708999999999833,19899.319999999999709,17026.611000000000786,17.538
Deciduous Fores,124141,79271,2761.019999999999982,868312588.146000027656555,868309827.126000046730042,11076790526.936885833740234,89227.495565017889021,5823.319000000000415,4139557.666830233763903,2761.019999999999982,2873.784000000000106,2888.590000000000146,17232.921999999998661,14344.331999999998516,4.448
Waterbodies max,196725,90371,2761.034000000000106,430921639.995999991893768,430918878.962000012397766,10195866427.055673599243164,51828.015895568300039,5738.479999999999563,1635158.897561271209270,2761.034000000000106,2879.302000000000135,2878.405999999999949,11614.897999999999229,8736.491999999998370,7.048
Kharif Crop,505377,245600,2762.231999999999971,73807154.020999997854233,73804391.789000004529953,15226452991.690412521362305,30128.899794985551125,8538.800999999999476,274483.071928382967599,2762.231999999999971,2857.827000000000226,2874.880999999999858,19885.352999999999156,17010.471999999997934,18.106
Rabi Crop,416313,230567,2762.570000000000164,2675668073.025000572204590,2675665310.454999923706055,34877444332.219291687011719,83776.976294805324869,8627.950999999999112,6857158.305266210809350,2762.570000000000164,2886.666999999999916,2887.862000000000080,22805.837999999999738,19917.975999999998749,14.915
Built-up,213879,139786,2764.750000000000000,781654158.470000028610229,781651393.720000028610229,12585428048.930994033813477,58843.682871768585755,11502.254000000000815,2088593.790629252791405,2764.750000000000000,2873.807999999999993,2891.422000000000025,48478.885500000003958,45587.463500000005297,7.663
Grassland,1526,1475,2763.681999999999789,9125126.377000000327826,9122362.695000000298023,206914125.035000026226044,135592.480363695940468,11263.924999999999272,486423.006862709764391,2763.681999999999789,2786.112000000000080,2823.704999999999927,64955.591000000007625,62131.885999999998603,0.055
Zaid Crop,31732,25859,2763.048999999999978,1709479.242000000085682,1706716.192999999970198,438580883.815001964569092,13821.406902023256407,8463.688000000000102,28311.582135770859168,2763.048999999999978,2844.072999999999865,2857.708000000000084,14245.922999999997046,11388.214999999998327,1.137
Waterbodies min,6159,5658,2785.960999999999785,246313587.321000009775162,246310801.359999984502792,761201118.401000499725342,123591.673713427589973,5743.375000000000000,3212101.462263893336058,2785.960999999999785,2873.393000000000029,2879.827999999999975,17224.008499999999913,14344.180500000000393,0.221
"0",4,4,2798.686999999999898,190308871641.613006591796875,190308868842.925994873046875,302140194379.190002441406250,75535048594.797500610351562,55915659969.444999694824219,80469770458.793838500976562,2798.686999999999898,2798.686999999999898,2850.503999999999905,151070094339.091003417968750,151070091488.587005615234375,0.000
Littoral Swamp,926,863,2808.048999999999978,3908878.214000000152737,3906070.165000000037253,25361582.575000036507845,27388.318115550795483,8444.570499999999811,138303.483811549551319,2808.048999999999978,2815.664000000000215,2819.833000000000084,25289.383000000001630,22469.550000000002910,0.033
