Type,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr,Percentage
WasteLand,334719,167422,2760.85,91608123,91605362.15,14776087091,44144.75154,8509.51,485665.376,2760.85,2887.25,2887.67,17371.105,14483.435,7.448
Evergreen Forest,194,175,2760.88,126270.7,123509.82,1589600.17,8193.815309,2806.595,13914.84079,2760.88,2786.99,2786.95,8289.91,5502.96,0.004
Degraded/Scrub Fores,71868,41411,2760.89,73755837,73753076.11,2461786795,34254.28279,5733.78,420425.0511,2760.95,2896.39,2899.7,11687.29,8787.59,1.599
Plantation,121481,94692,2761.16,92144156,92141394.84,6377805611,52500.4372,14326.32,545688.6169,2761.16,2833.93,5577.9,40103.68,34525.78,2.703
Kharif Crop,901681,227035,2761.01,64746021,64743259.99,12014804388,13324.89471,5605.69,147562.592,2761.01,2869.67,2857.26,8670.45,5813.19,20.065
Zaid Crop,28546,16681,2761.01,640563.9,637802.89,167546826.6,5869.362663,2859.68,11733.27106,2761.01,2806.32,2819.64,5686.13,2866.49,0.635
Decidous Forest,124141,77495,2761.02,86831258,86828496.98,6241392328,50276.63969,5823.32,852958.0512,2761.02,2873.78,2888.59,17232.92,14344.33,2.763
Waterbodies max,207172,93243,2761.03,87712044,87709282.97,8764844804,42307.09171,5737.92,459584.4758,2761.03,2879.3,2878.16,14042.615,11164.455,4.61
Waterbodies min,11996,10576,2761.05,99727951,99725189.95,1933760834,161200.4697,5698.77,1957663.545,2761.05,2838.03,2861.88,17331.93,14470.05,0.267
Current Fallow,634601,152199,2762.19,11467180,11464417.81,7110543326,11204.74649,2900.91,66603.56027,2762.19,2878.85,2865.63,8519.8,5654.17,14.122
Double/Triple Fallow,404879,163953,2763.15,98680043,98677279.85,36400591273,89904.86361,5712.38,1482479.378,2763.15,2856.86,2868.8,14408.425,11539.625,9.01
Rabi Crop,1435937,272767,2762.61,97463877,97461114.39,26143884962,18206.84679,2907.22,371833.4592,2762.61,2848.14,2855.47,8553.35,5697.88,31.954
Built-up,213879,137778,2764.75,93778363,93775598.25,10771475362,50362.473,11502.25,485989.6251,2764.75,2873.81,2891.42,48478.885,45587.465,4.759
Grassland,1754,1696,2763.68,9125126,9122362.32,230846046.4,131611.2009,11275.185,475201.8207,2763.68,2786.11,2826.63,64939.2,62112.57,0.039
0,4,4,2798.69,19030887,19028088.31,30219719.01,7554929.753,5593016.66,8045639.207,2798.69,2798.69,2850.505,15107009,15104158.5,0
Littoral Swamp,926,863,2808.05,3908878,3906069.95,25361580.78,27388.31618,8444.575,138303.4754,2808.05,2815.66,2819.83,25289.38,22469.55,0.021
