Type,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr,Percentage
Evergreen Forest,270,252,2893.22332710028,167611.597228736,164718.373901635,3031162.04078311,11226.5260769745,5838.40265536308,15742.5339989033,2893.22332710028,2920.63500568271,2939.71798846126,11667.0590361357,8727.34104767442,0.008337435145562353
WasteLand,269364,183819,2893.22332710028,211606265.749632,211603372.526305,14645493699.9931,54370.6423278282,9075.85684961081,779597.391523042,2893.22332710028,3018.03294765949,5898.58923372626,24172.6950184852,18274.1057847589,8.317795853886139
Current Fallow,525420,204605,2893.20819237828,272087637.449897,272084744.241705,9134655340.46173,17385.4351575154,5990.42406880856,477779.890911974,2893.20819237828,2995.33260133862,3013.37400013208,11750.6684373021,8737.29443717003,16.22464879326434
Degraded/Scrub Forest,55375,44124,2893.26872947812,153094634.763222,153091741.494492,2595491687.61179,46871.1817175943,6121.61008453369,800851.147767658,2893.26872947812,3035.21425893903,3054.23041975498,18329.2125037313,15274.9820839763,1.7099461895759827
Plantation,113361,99985,2893.37466025352,228415721.436608,228412828.061947,6694226716.01855,59052.2906115732,17565.0394361019,1070823.16155316,2893.37466025352,2940.39333805442,5951.90676349401,44447.095167309,38495.188403815,3.500518464948496
Waterbodies max,176594,119715,2893.58648666739,34818313.8192682,34815420.2327816,7445628192.90146,42162.4075161187,8957.6258059293,289427.088352211,2893.58648666739,2993.64284867048,3041.01288443804,20879.7615887821,17838.748704344,5.453114896649772
Kharif Crop,738593,320850,2894.99242663383,282789597.445901,282786702.453474,20732223516.8543,28069.8889873778,6011.84725022316,753745.096402935,2894.99242663383,2980.96807813644,3010.24602344632,14871.0970468819,11860.8510234356,22.807300875801243
Deciduous Forest,101913,82185,2893.43518689275,868572515.47839,868569622.043203,11119119802.4953,109104.03778218,9033.60879212618,4710704.33125169,2893.43518689275,3003.70939210057,5883.82899755239,23597.8237634897,17713.9947659373,3.1470112147766525
Waterbodies min,19288,17797,2893.48057928681,292000783.191392,291997889.710813,3282193172.15691,170167.626096895,6077.33423560858,3613449.65277911,2893.48057928681,3010.44275596738,3030.64922109246,18087.430634141,15056.7814130485,0.5956016632874321
Rabi Crop,755785,284172,2895.00753289461,1915755352.23109,1915752457.22355,25341776550.0086,33530.404215496,6016.27500268817,2727678.0989369,2895.00753289461,3012.01461035013,3016.22779935598,12029.1797717214,9012.95197236538,23.33817933884757
Double/Triple Fallow,273766,186855,2895.35491338372,15962602400.2,15962599504.8451,126790928980.416,463136.141743005,9024.0769726038,47652719.0473126,2895.35491338372,2981.92342814803,5811.80799937248,27034.9964537621,21223.1884543896,8.453726926148235
Zaid Crop,10821,9543,2897.30091524124,432329.159694999,429431.858779758,82417632.0824186,7616.45246117906,5850.13695293665,12783.6788671057,2897.30091524124,2926.66786977649,2972.60580915213,8768.02484464645,5795.41903549433,0.3341458730004823
Built-up,195499,156998,2896.20017927885,503746598.221433,503743702.021253,12627936312.4204,64593.3550167543,18047.1972999573,1555070.18314681,2896.20017927885,3004.64880904555,6017.47178351879,56502.7931710631,50485.3213875443,6.0368897537862765
Grassland,1583,1569,2896.60744976997,9128004.38653836,9125107.77908859,227467409.001498,143693.878080542,17714.0816258788,508683.894428341,2896.60744976997,2958.08738982677,5901.94697536528,77723.8830683231,71821.9360929579,0.0488820734645378
Littoral Swamp,774,752,2942.67405605316,2843080.77201715,2840138.0979611,25927749.2347124,33498.3840241763,11786.7783271074,122153.375483386,2942.67405605316,2958.49504143,5895.60202455521,29506.0444084406,23610.4423838854,0.023900647417278747
